speaker_occupation,Jaw-dropping,Courageous,Persuasive,Inspiring,Funny,OK,Ingenious,Informative,Longwinded,Fascinating,Beautiful,Confusing,Obnoxious,Unconvincing
Architect,1956,1356,3760,10431,1747,1695,7853,5362,1400,6401,4108,657,1701,1693
Artist,4402,2188,1777,8252,4359,1956,6284,3716,980,7647,6535,845,697,1212
Author,1097,4699,4629,13313,4158,1807,1613,6831,632,4200,4954,320,533,1016
Designer,2829,1376,2972,9817,4028,3217,6693,6190,1489,6919,3972,895,645,2221
Economist,564,1676,4729,3653,853,1116,1049,5384,877,2091,548,429,468,1500
Educator,2699,4459,6191,20063,2802,1583,4087,6886,393,6320,5334,260,305,579
Entrepreneur,3757,4016,7518,23874,7666,3737,5386,10250,733,9264,5822,502,1190,1871
Filmmaker,3268,4277,2695,12474,3338,1411,1761,5522,601,7616,10431,438,437,673
Inventor,5597,2871,2372,11592,1171,1679,9312,5016,634,5956,2163,558,593,1112
Journalist,1830,6916,10397,15788,2567,3614,2215,13296,1059,5813,5223,589,1490,2697
Neuroscientist,3795,707,2995,5155,1581,1901,4673,12068,720,11274,1584,560,293,774
Philosopher,845,2415,6726,11450,2492,2638,2936,7071,1394,7254,3078,950,493,2394
Photographer,4558,5972,4849,8178,283,1522,841,6701,728,4879,6770,343,466,804
Psychologist,3419,4619,18160,34514,11387,4446,5119,24914,1847,15229,4790,1073,997,2674
Writer,4490,16897,12442,41028,12752,7251,6179,23062,2769,18663,17580,1433,2128,4406
